Date,Open,High,Low,Close,Adj Close,Volume
30/8/2016,105.800003,106.5,105.5,106,104.162621,24863900
31/8/2016,105.660004,106.57,105.639999,106.099998,104.260887,29662400
1/9/2016,106.139999,106.800003,105.620003,106.730003,104.879982,26701500
2/9/2016,107.699997,108,106.82,107.730003,105.862648,26802500
6/9/2016,107.900002,108.300003,107.510002,107.699997,105.833153,26880400
7/9/2016,107.830002,108.760002,107.07,108.360001,106.48172,42364300
8/9/2016,107.25,107.269997,105.239998,105.519997,103.690956,53002000
9/9/2016,104.639999,105.720001,103.129997,103.129997,101.342369,46557000
12/9/2016,102.650002,105.720001,102.529999,105.440002,103.612335,45292800
13/9/2016,107.510002,108.790001,107.239998,107.949997,106.078827,62176200
14/9/2016,108.730003,113.029999,108.599998,111.769997,109.832603,110888700
15/9/2016,113.860001,115.730003,113.489998,115.57,113.566742,89983600
16/9/2016,115.120003,116.129997,114.040001,114.919998,112.928009,79886900
19/9/2016,115.190002,116.18,113.25,113.580002,111.611237,47023000
20/9/2016,113.050003,114.120003,112.510002,113.57,111.60141,34514300
21/9/2016,113.849998,113.989998,112.440002,113.550003,111.581757,36003200
22/9/2016,114.349998,114.940002,114,114.620003,112.633217,31074000
23/9/2016,114.419998,114.790001,111.550003,112.709999,110.756317,52481200
26/9/2016,111.639999,113.389999,111.550003,112.879997,110.923363,29869400
27/9/2016,113,113.18,112.339996,113.089996,111.129723,24607400
28/9/2016,113.690002,114.639999,113.43,113.949997,111.974823,29641100
29/9/2016,113.160004,113.800003,111.800003,112.18,110.235504,35887000
30/9/2016,112.459999,113.370003,111.800003,113.050003,111.090431,36379100
3/10/2016,112.709999,113.050003,112.279999,112.519997,110.569603,21701800
4/10/2016,113.059998,114.309998,112.629997,113,111.04129,29736800
5/10/2016,113.400002,113.660004,112.690002,113.050003,111.090431,21453100
6/10/2016,113.699997,114.339996,113.129997,113.889999,111.915863,28779300
7/10/2016,114.309998,114.559998,113.510002,114.059998,112.082916,24358400
10/10/2016,115.019997,116.75,114.720001,116.050003,114.038429,36236000
11/10/2016,117.699997,118.690002,116.199997,116.300003,114.284088,64041000
12/10/2016,117.349998,117.980003,116.75,117.339996,115.306061,37586800
13/10/2016,116.790001,117.440002,115.720001,116.980003,114.952301,35192400
14/10/2016,117.879997,118.169998,117.129997,117.629997,115.591034,35652200
17/10/2016,117.330002,117.839996,116.779999,117.550003,115.512428,23624900
18/10/2016,118.18,118.209999,117.449997,117.470001,115.433815,24553500
19/10/2016,117.25,117.760002,113.800003,117.120003,115.089874,20034600
20/10/2016,116.860001,117.379997,116.330002,117.059998,115.030914,24125800
21/10/2016,116.809998,116.910004,116.279999,116.599998,114.57888,23192700
24/10/2016,117.099998,117.739998,117,117.650002,115.61068,23538700
25/10/2016,117.949997,118.360001,117.309998,118.25,116.200294,48129000
26/10/2016,114.309998,115.699997,113.309998,115.589996,113.586395,66134200
27/10/2016,115.389999,115.860001,114.099998,114.480003,112.495644,34562000
28/10/2016,113.870003,115.209999,113.449997,113.720001,111.748817,37861700
31/10/2016,113.650002,114.230003,113.199997,113.540001,111.57193,26419400
1/11/2016,113.459999,113.769997,110.529999,111.489998,109.557465,43825800
2/11/2016,111.400002,112.349998,111.230003,111.589996,109.655731,28331700
3/11/2016,110.980003,111.459999,109.550003,109.830002,108.480354,26932600
4/11/2016,108.529999,110.25,108.110001,108.839996,107.502518,30837000
7/11/2016,110.080002,110.510002,109.459999,110.410004,109.053238,32560000
8/11/2016,110.309998,111.720001,109.699997,111.059998,109.695236,24054500
9/11/2016,109.879997,111.32,108.050003,110.879997,109.517456,59176400
10/11/2016,111.089996,111.089996,105.830002,107.790001,106.465424,57134500
11/11/2016,107.120003,108.870003,106.550003,108.43,107.097557,34094100
14/11/2016,107.709999,107.809998,104.080002,105.709999,104.41098,51175500
15/11/2016,106.57,107.68,106.160004,107.110001,105.793777,32264500
16/11/2016,106.699997,110.230003,106.599998,109.989998,108.638382,58840500
17/11/2016,109.809998,110.349998,108.830002,109.949997,108.598877,27632000
18/11/2016,109.720001,110.540001,109.660004,110.059998,108.707527,28428900
21/11/2016,110.120003,111.989998,110.010002,111.730003,110.35701,29264600
22/11/2016,111.949997,112.419998,111.400002,111.800003,110.426147,25965500
23/11/2016,111.360001,111.510002,110.330002,111.230003,109.863159,27426400
